RA,Dec,Signal,Name
250.4469,36.3500,156.94,M13
260.0121,57.8985,98.99,Draco
227.0599,67.1984,87.67,UrsaMinor
162.3292,51.0424,69.93,Willman1
259.1610,43.1913,58.92,M92
149.8062,30.7526,57.12,LeoA
251.7930,47.5468,41.82,NGC6229
238.1758,64.5585,24.37,Draco2
177.6723,38.8581,22.56,DDO99
132.8045,63.1291,21.70,UrsaMajor2
183.8651,36.2440,21.12,DDO113
186.1130,51.1339,20.91,UNIONS 2**
220.4821,54.8661,19.03,-
225.4165,66.9561,18.42,Munoz1
158.5883,51.9149,18.21,UrsaMajor(1)
183.6787,48.3885,18.12,-
159.6460,36.8190,17.15,-
174.2292,61.8155,16.62,-
156.0636,33.6856,16.26,-
178.1629,54.5754,16.24,-
157.3108,56.7780,16.16,-
195.0925,44.8250,16.16,-
210.6224,54.3878,16.14,NGC 5449
176.5161,44.4924,15.26,-
212.5091,58.5741,15.16,-
171.2320,79.5652,14.94,-
209.3883,69.3028,14.93,-
188.3927,39.1937,14.90,-
162.9753,64.5140,14.83,-
173.6531,63.8883,14.47,-
144.2345,33.7168,14.46,-
161.7485,36.9555,14.44,-
179.4105,55.4707,14.39,NGC 3990
169.7634,38.3622,14.38,-
218.1853,58.8417,14.22,-
250.2540,37.5794,14.18,-
192.7815,69.0778,14.17,-
225.0471,70.0289,14.04,-
280.2629,75.6712,13.96,Draco III**
262.7769,62.0461,13.89,-
140.0241,40.7067,13.86,-
208.0619,54.7614,13.82,-
139.2058,40.8014,13.74,-
156.5443,62.6129,13.72,-
144.3816,35.5780,13.67,-
167.2512,46.0021,13.67,-
162.8981,44.2255,13.63,-
210.7311,54.4417,13.60,-
172.0572,32.2381,13.51,-
231.5001,38.0247,13.49,-
221.7271,58.0716,13.47,-
160.4219,51.6950,13.46,-
159.7073,37.3654,13.44,-
179.3191,32.2299,13.42,-
155.8875,47.8669,13.38,-
169.5837,57.9813,13.33,NGC 3613
198.9221,55.5874,13.32,-
214.9766,45.5346,13.32,-
215.0763,49.3632,13.29,-
164.1648,37.1025,13.19,-
130.4586,47.2925,13.19,-
157.0527,56.4994,13.18,-
175.0000,61.0936,13.17,-
216.8819,60.3615,13.13,-
152.1179,68.5647,13.04,-
188.8298,70.0967,12.92,-
174.4646,70.7562,12.88,-
233.6661,43.7071,12.88,Bootes4
162.6597,57.2604,12.87,-
190.7473,54.2752,12.83,-
145.1107,42.6769,12.81,-
145.8665,30.7553,12.80,-
160.6657,49.4192,12.77,-
170.2366,34.6316,12.74,-
228.3652,67.5425,12.74,Outskirts of Ursa Minor
146.1144,65.7029,12.67,-
149.0788,56.5328,12.64,-
160.2251,59.7021,12.63,-
169.9224,32.4604,12.63,-
161.1609,48.9910,12.63,-
112.7651,75.7798,12.59,-
171.9544,61.7839,12.59,-
132.3779,59.9343,12.58,-
212.3127,61.6219,12.58,-
125.5677,46.0498,12.53,-
196.6291,67.7120,12.51,UGC8201
227.2700,44.8994,12.51,-
181.0812,39.3162,12.51,-
118.0458,74.3251,12.51,-
184.8587,45.6991,12.47,-
236.9815,63.8647,12.45,-
160.6099,65.7727,12.44,-
190.3986,40.9575,12.43,-
153.5724,43.8183,12.42,-
153.0520,45.5367,12.41,-
180.0105,64.7673,12.40,-
165.2990,56.1328,12.39,-
185.8132,40.9364,12.38,-
172.7024,58.0763,12.34,-
134.2922,39.7634,12.31,-
