RA,Dec,Signal,Name
19.1477,33.4146,107.14,AndromedaII
8.8921,36.4697,90.43,AndromedaIII
11.4096,38.0423,75.83,AndromedaI
14.8620,32.3684,56.30,AndromedaXVI
359.7285,30.7504,51.96,AndromedaXXIX
23.5432,31.1310,39.56,Triangulum Edge
23.6403,31.1320,27.05,Triangulum Edge
22.3371,38.6979,27.00,AndromedaXXIII
9.7978,38.8289,16.92,M31 Debris
11.5738,33.7861,15.73,AndromedaXI
9.5034,38.8903,15.16,M31 Debris
12.9548,33.0008,12.68,AndromedaXIII
4.9389,35.0833,12.29,AndromedaXIX
355.8068,36.3959,12.05,-
1.3675,33.0147,12.02,-
351.2609,34.0600,11.85,-
349.7763,32.2535,11.67,-
14.2023,33.3479,11.46,-
351.0757,31.9903,11.44,-
355.4936,32.4494,11.27,-
9.8543,38.0303,11.08,-
32.3168,32.7223,10.87,-
12.1493,37.4309,10.82,-
353.0727,34.7848,10.69,-
8.6343,32.5989,10.63,-
351.0366,36.2832,10.62,-
352.9346,36.2810,10.61,-
349.1250,29.7739,10.57,-
30.9409,32.4633,10.37,-
4.3109,32.2669,10.35,-
357.3925,31.8952,10.31,-
347.0997,33.3333,10.30,-
31.5418,35.6079,10.20,-
20.2410,38.1465,10.19,-
20.1886,34.5721,10.17,-
9.0321,38.8412,10.15,-
10.5912,38.3294,10.15,-
29.5346,34.1357,10.13,-
350.3881,34.3200,10.11,-
356.0231,37.1591,10.07,-
10.6752,33.7580,10.04,-
353.2182,30.7911,10.00,-
32.1912,36.8173,10.00,-
35.7024,31.6899,9.87,-
27.2094,30.9545,9.85,-
30.7372,31.5932,9.84,-
359.4691,38.3893,9.81,-
10.2321,38.6445,9.77,-
6.1264,38.4903,9.73,-
22.6736,37.4091,9.72,-
30.6371,32.6720,9.71,-
357.6426,31.7405,9.67,-
356.7971,38.1788,9.64,-
11.4024,32.2011,9.63,-
350.8709,35.0631,9.59,-
9.4976,38.2673,9.59,-
355.6653,31.6829,9.57,-
7.0876,35.4987,9.55,-
354.1009,35.3797,9.53,-
29.6797,35.6223,9.49,-
354.0283,34.5961,9.48,-
3.3946,38.0196,9.46,-
9.7622,37.5523,9.45,-
3.7129,35.3432,9.45,-
36.8451,32.5516,9.44,-
21.4266,35.3474,9.41,-
31.5696,36.0579,9.41,-
350.5083,29.7150,9.39,-
347.9456,32.2637,9.39,-
35.9565,35.1674,9.38,-
7.4999,34.2746,9.38,-
11.9896,38.3243,9.35,-
6.9535,38.4296,9.34,-
32.8344,31.0474,9.32,-
358.1838,33.7091,9.30,-
30.0558,35.0193,9.28,-
30.6145,31.7396,9.26,-
18.3186,30.1032,9.26,-
32.9730,34.1457,9.20,-
18.9005,31.1136,9.19,NGCI1658
349.4687,33.2606,9.17,-
19.7316,36.3396,9.16,-
30.5182,34.1508,9.15,-
345.2459,33.2877,9.14,-
29.8907,33.8318,9.10,-
27.9240,33.1664,9.10,-
347.7337,30.5023,9.07,-
0.6251,31.6787,9.07,-
5.1443,36.0665,9.05,-
352.0184,33.6475,9.03,-
344.9824,31.7852,9.02,-
3.0984,38.9117,9.01,-
36.9312,31.6012,9.01,-
350.3858,35.3951,8.99,-
30.6037,33.5203,8.98,-
354.6701,36.1153,8.96,-
358.5983,32.6322,8.95,-
356.6917,33.1553,8.93,-
16.9129,32.4206,8.93,NGC 382
17.8380,35.3168,8.92,-
