Ranking,RA,Dec,Signal,Name
1,19.1490,33.4142,84.49,AndromedaII
2,14.8619,32.3670,62.49,AndromedaXVI
3,8.8897,36.4685,52.46,AndromedaIII
4,359.7229,30.7461,45.62,AndromedaXXIX
5,23.5560,30.2640,29.37,Triangulum
6,11.5731,33.7859,17.69,AndromedaXI
7,20.9392,33.2340,13.80,NGC 504
8,1.8641,35.1261,10.89,AndromedaXX
9,12.6783,32.9120,10.37,AndromedaXIII
10,16.8556,32.4534,9.96,NGC 379
11,29.3459,33.1799,9.16,NGC 750
12,27.6837,36.2521,8.51,UGC1308
13,5.4515,35.7320,8.50,-
14,4.7967,34.9664,8.23,AndromedaXIX
15,17.7243,33.1037,8.15,NGC 407
16,7.9134,31.6515,8.08,-
17,14.5611,37.2291,8.00,-
18,34.5143,32.5990,8.00,-
19,11.4097,32.9154,7.84,-
20,35.5325,30.8586,7.83,-
21,17.0688,33.1163,7.63,NGC 392
22,36.2981,31.2301,7.50,-
23,346.5841,31.1826,7.47,"Likely bright star artifact, also ri.sgc #23"
24,34.5833,34.0652,7.41,-
25,349.7318,32.2077,7.35,-
26,34.5983,33.3152,7.24,-
27,33.7482,30.7176,7.23,NGC 860
28,34.6938,32.7814,7.03,-
29,12.8533,33.8481,6.82,-
30,357.7395,36.0679,6.81,-
31,6.1790,30.5987,6.75,-
32,349.6019,33.3496,6.75,-
33,32.7838,30.4128,6.73,-
34,356.0785,31.8631,6.67,-
35,11.6369,34.7037,6.66,AndromedaXII
36,351.7033,31.4593,6.66,-
37,19.3708,36.5848,6.61,-
38,6.8928,33.2524,6.60,-
39,22.7358,34.4958,6.60,-
40,349.3563,30.3921,6.57,-
41,36.1220,33.6652,6.55,UGC1853
42,2.3871,32.7064,6.55,-
43,355.2795,33.3997,6.53,-
44,4.4198,30.6525,6.53,-
45,7.1976,34.2637,6.52,-
46,11.9142,36.5252,6.50,-
47,32.5072,31.9747,6.48,-
48,28.0965,35.1604,6.47,-
49,35.5146,33.2575,6.46,NGC 890
50,351.5761,31.7220,6.45,-
51,19.6792,34.0113,6.45,-
52,343.5671,31.8936,6.44,-
53,350.4228,32.9220,6.42,-
54,15.6120,32.4489,6.42,-
55,36.0950,30.8674,6.40,-
56,1.0229,30.5767,6.40,-
57,359.0138,36.8964,6.38,-
58,22.7839,32.6641,6.36,-
59,354.8155,35.6494,6.34,-
60,9.8833,30.9440,6.34,-
61,11.1508,36.4864,6.32,-
62,7.5996,34.8889,6.32,-
63,4.1858,35.0472,6.31,-
64,26.9651,33.8011,6.31,-
65,10.4694,36.6392,6.30,-
66,8.3513,32.3727,6.29,-
67,0.9983,32.8197,6.29,-
68,10.1900,36.3187,6.27,-
69,19.5048,35.7907,6.26,-
70,36.7488,32.6034,6.20,-
71,352.3248,35.3536,6.20,-
72,345.8843,30.3186,6.20,-
73,0.0053,34.9475,6.19,-
74,353.1386,29.9768,6.18,-
75,32.8421,31.8949,6.18,-
76,27.4458,33.0928,6.17,-
77,349.3155,32.4399,6.16,-
78,351.6330,32.2724,6.15,-
79,9.3969,30.4969,6.15,-
80,1.6838,31.4588,6.14,-
81,359.1059,32.5168,6.13,-
82,350.4082,30.1752,6.13,-
83,351.6086,34.4032,6.13,-
84,345.6879,31.3334,6.12,-
85,358.8335,35.7053,6.12,-
86,351.5210,33.1017,6.10,-
87,12.5524,31.7610,6.10,UGC511
88,33.4966,34.1488,6.10,-
89,22.3656,35.3545,6.09,-
90,16.6436,29.6151,6.09,-
91,350.4024,30.6558,6.09,-
92,358.4673,32.3197,6.08,-
93,10.7307,35.4244,6.07,-
94,35.0587,33.4622,6.07,-
95,356.0069,35.8452,6.07,-
96,26.1940,31.7123,6.06,-
97,7.0144,29.9580,6.06,-
98,355.0387,30.7867,6.05,-
99,14.5565,30.3874,6.04,NGC 318
100,5.8848,30.1694,6.04,-
