RA,Dec,Signal,Name
227.1439,67.1973,97.30,Ursa Minor
259.1739,43.0791,95.14,M92
250.4667,36.5438,87.56,M13
260.0121,57.8985,68.17,Draco
149.8233,30.7523,67.52,LeoA
162.3292,51.0424,56.91,Willman1
114.5703,38.8777,52.63,NGC2419
138.9653,52.8203,34.99,UGC4879
251.7674,47.5625,33.00,NGC6229
114.0880,65.5089,32.69,NGC2403
202.0410,33.5538,32.28,CanesVenatici(1)
156.8468,68.3585,31.64,IC 2574
149.3853,69.0361,28.85,UGC5336
177.6723,38.8581,27.34,DDO99
132.8411,63.1296,23.51,UrsaMajor2
183.9235,36.2595,22.38,DDO113
194.2827,34.3127,22.31,CanesVenatici2
124.8045,70.7486,20.59,UGC4305
114.4055,65.4943,20.13,NGC 2403 Edge
112.1262,69.1552,19.58,UGC3847
186.4309,33.4653,19.36,NGC 4401
184.0810,69.4341,17.10,NGC 4236
148.6879,69.2094,15.86,M81 Edge
186.1134,51.1505,15.49,UNIONS 2**
210.7282,54.4580,15.32,M101
238.1758,64.5585,14.98,Draco2
225.4165,66.9561,14.73,Munoz1
184.2173,69.4817,14.55,NGC 4236
157.1197,68.4657,14.27,NGCI2574
174.6976,31.0774,13.57,UrsaMajor3/UNIONS1
145.1488,71.1729,12.11,UGC5139
188.2280,31.5404,11.78,UGC7698
202.3656,58.3856,11.76,NGC 5204
211.1044,54.4207,11.32,NGC 5471
211.7727,55.0240,11.28,NGC 5484
213.8966,32.8941,10.83,Bootes5
150.8617,68.6488,10.66,UGC5398
226.2078,66.9521,10.63,Ursa Minor Outskirts
185.0172,29.3200,10.62,NGC 4278
148.9145,68.9218,10.52,M81 Edge
158.6704,51.9290,10.39,UrsaMajor(1)
169.5524,57.9824,9.97,UGC6323
196.4660,37.6262,9.28,NGCI4182
148.4909,62.6762,9.27,-
191.0739,32.2823,9.15,NGC 4656
179.8078,49.7973,9.12,SPDRS 2_2798
168.6341,44.2515,9.11,-
128.3544,34.2981,9.02,-
211.2090,53.6070,8.82,NGC 5474
178.8580,67.9918,8.81,-
219.3419,60.4622,8.78,-
165.8090,32.8820,8.73,-
140.4630,73.6123,8.48,-
141.7432,42.3607,8.42,-
134.8966,61.2023,8.30,-
149.9793,48.7149,8.29,-
208.1033,37.4733,8.29,-
169.2900,37.9079,8.27,-
192.8827,64.7395,8.27,-
181.6085,48.0667,8.19,-
228.0713,67.5801,8.16,Ursa Minor Outskirts
250.9705,30.0351,8.07,-
162.4175,33.4612,8.07,-
171.1679,38.7029,8.06,NGC 3665
143.3776,44.2333,8.04,-
237.1708,65.9810,8.04,UNIONS 3**
160.7782,42.8541,8.00,-
182.6307,78.8712,8.00,-
130.3316,53.5993,7.99,-
158.6280,33.8253,7.96,-
126.3828,34.1348,7.96,-
173.8998,37.4179,7.95,-
149.2683,32.7121,7.93,-
190.5299,38.4971,7.91,NGCI3687
180.7225,74.6757,7.90,-
149.8428,34.1921,7.90,-
250.4248,40.4263,7.90,-
192.4315,56.5398,7.89,-
184.8765,75.3342,7.87,-
157.0834,54.8322,7.86,-
186.8903,43.4751,7.84,DDO125
119.3274,53.6565,7.84,-
190.4879,41.2487,7.83,NGC 4625
160.4497,32.8022,7.81,-
231.5764,63.0544,7.81,-
170.1129,46.6270,7.81,-
130.5798,47.8031,7.81,SPDRS 1_2639
192.6604,77.8738,7.80,-
109.7880,51.3438,7.79,UGC3792
132.4946,55.1077,7.78,-
135.5650,75.5087,7.78,-
203.9472,66.1853,7.77,-
122.4720,74.3918,7.77,-
139.7622,68.7802,7.77,-
166.4899,48.2056,7.77,-
167.6640,50.4954,7.77,-
184.6244,54.7661,7.73,-
249.5043,34.4805,7.73,-
203.7326,34.4251,7.73,-
190.3678,38.7201,7.73,-
