Ranking,RA,Dec,Signal,Name
1,19.0902,33.4328,133.46,AndromedaII
2,8.8698,36.4858,100.73,AndromedaIII
3,359.7220,30.7487,48.51,AndromedaXXIX
4,14.8619,32.3666,37.30,AndromedaXVI
5,12.8941,29.6704,28.75,AndromedaXIV
6,23.7952,31.0119,28.45,Triangulum
7,12.9536,33.0000,14.71,AndromedaXIII
8,11.5735,33.7859,13.39,AndromedaXI
9,1.8641,35.1261,12.41,AndromedaXX
10,348.1940,33.1441,8.30,-
11,16.8946,32.4025,7.70,NGC 382
12,18.6621,30.3341,7.34,-
13,12.1209,36.6104,7.31,-
14,15.5595,33.4821,7.27,-
15,28.3705,30.7741,7.22,-
16,10.4536,30.1755,7.20,-
17,6.2204,30.7976,7.18,-
18,5.0000,35.1165,7.01,AndromedaXIX
19,31.5515,35.3240,7.00,-
20,12.3309,36.5157,6.98,-
21,345.4461,32.0905,6.92,-
22,27.8038,34.9669,6.89,-
23,346.5715,31.1827,6.72,"Likely bright star artifact, also gr.sgc #23"
24,5.4515,35.7320,6.71,-
25,11.9099,37.2849,6.68,-
26,3.9552,37.2253,6.67,-
27,3.3792,30.4611,6.64,-
28,19.8301,31.3265,6.63,-
29,3.5580,37.2378,6.63,-
30,10.4312,33.4494,6.62,-
31,23.0368,36.3966,6.61,-
32,355.3683,30.7839,6.59,-
33,355.5676,34.7315,6.58,-
34,20.7572,36.5864,6.56,-
35,354.0829,35.1955,6.55,-
36,356.1095,31.1625,6.55,-
37,18.2535,31.8254,6.53,-
38,29.5681,34.2865,6.49,-
39,35.1060,34.0449,6.47,-
40,25.1620,34.6494,6.47,UGC1178
41,1.4616,32.6172,6.43,-
42,12.3633,32.8223,6.42,-
43,4.7238,32.3835,6.37,-
44,348.7378,31.4216,6.37,-
45,35.5962,30.0762,6.37,-
46,349.8348,33.4674,6.36,-
47,353.3970,33.7396,6.36,-
48,23.5953,36.3546,6.27,-
49,33.1826,35.4291,6.27,-
50,7.4346,29.9012,6.26,-
51,13.9215,30.1978,6.25,-
52,354.9800,33.6666,6.25,-
53,9.6251,32.6486,6.23,UGC384
54,359.3861,36.0345,6.23,-
55,16.1624,29.2337,6.22,-
56,6.7964,36.2521,6.22,-
57,358.2071,31.0776,6.17,-
58,355.3872,30.6674,6.15,-
59,344.2929,31.8713,6.15,-
60,20.3420,32.8802,6.14,-
61,356.6753,30.1916,6.14,-
62,12.9384,31.9501,6.14,-
63,34.8917,32.7468,6.14,-
64,9.5690,35.3137,6.13,-
65,29.8382,31.5827,6.13,-
66,4.1985,31.5989,6.13,-
67,349.9760,31.6682,6.12,-
68,22.7860,34.9292,6.12,-
69,35.5108,29.5622,6.12,-
70,28.5031,29.7073,6.12,-
71,16.7573,29.4596,6.12,-
72,16.4409,36.0551,6.10,-
73,355.9118,34.6961,6.10,-
74,0.4910,31.9377,6.09,-
75,1.4684,31.0045,6.08,-
76,33.6220,33.0994,6.08,-
77,30.5606,32.5864,6.07,-
78,6.8813,33.6358,6.05,-
79,31.9812,35.2654,6.04,UGC1619
80,31.7103,32.4293,6.04,-
81,22.1521,31.3856,6.04,-
82,35.7503,31.0889,6.01,-
83,0.7478,36.6888,6.00,-
84,20.3936,30.7528,6.00,-
85,350.8642,29.7555,5.98,-
86,15.2977,32.8830,5.97,-
87,29.5504,33.4537,5.96,-
88,33.8616,32.5166,5.95,-
89,12.5597,37.1840,5.94,-
90,16.9140,36.9616,5.94,-
91,355.0202,34.2665,5.94,-
92,3.3777,31.5912,5.93,-
93,357.7545,32.1535,5.93,-
94,350.2190,29.1471,5.91,-
95,25.3702,35.9635,5.91,-
96,24.1268,32.8803,5.91,-
97,9.2248,30.5191,5.91,-
98,29.0091,31.2216,5.89,-
99,352.2739,34.4361,5.89,-
100,19.5732,34.7786,5.88,-
